Price,Area,Rooms,Bathrooms,Floor Level,Year Built,Seller Type,View,Payment Method,Location,Amenities,Price_Numeric,Calculated_Price_Per_Meter
"7,330,000 EGP",108.0,2.0,1 bathroom,3.0,2024.0,Developer,Garden,Cash or Installments,كمبوند صن كابيتال,Basic,7330000.0,67870.37
"1,200,000 EGP",140.0,2.0,1 bathroom,5.0,1999.0,Private Owner,Side Street,Cash,El Eshrein St,Basic,1200000.0,8571.43
"5,000,000 EGP",155.0,3.0,3 bathroom,1.0,2025.0,Broker,Side Street,Cash or Installments,Unknown,Basic,5000000.0,32258.06
"7,250,000 EGP",235.0,3.0,3 bathroom,2.0,2025.0,Private Owner,Main Street,Installments,الحي الرابع,Basic,7250000.0,30851.06
"7,600,000 EGP",173.0,3.0,3 bathroom,1.0,2025.0,Broker,Main Street,Cash,Unknown,Basic,7600000.0,43930.64
"3,340,000 EGP",167.0,3.0,1 bathroom,,,EG-6603129,Main Street,Cash,Helmeyat El Zaytoun,Basic,3340000.0,20000.0
"7,100,000 EGP",166.0,3.0,,,,EG-6551240,Main Street,Cash or Installments,Taj City With,Cash,7100000.0,42771.08
"4,101,000 EGP",90.0,2.0,1 bathroom,2.0,2026.0,Broker,Corner,Cash,كمبوند كيان,Basic,4101000.0,45566.67
"11,500,000 EGP",135.0,2.0,2 bathroom,2.0,2025.0,Broker,Garden,Cash,Aeon Compound,Basic,11500000.0,85185.19
"4,938,890 EGP",152.0,3.0,2 bathroom,1.0,2028.0,Compound Developer,Main Street,Cash or Installments,Makany Compound,Basic,4938890.0,32492.7
"750,000 EGP",120.0,3.0,1 bathroom,7.0,1997.0,Private Owner,Side Street,Cash,Unknown,Basic,750000.0,6250.0
"9,500,000 EGP",300.0,4.0,3 bathroom,2.0,2018.0,"31,667 EGP/M²",,,Zaid Ebn Haretha,Basic,9500000.0,31666.67
"4,162,500 EGP",185.0,3.0,4 bathroom,4.0,2025.0,Developer,Garden,Cash or Installments,El Andalus 1,Basic,4162500.0,22500.0
"10,450,000 EGP",133.0,2.0,2 bathroom,2.0,2018.0,Private Owner,Lake,Cash,Mountain View Hyde,View,10450000.0,78571.43
"10,500,000 EGP",161.0,3.0,3 bathroom,2.0,2025.0,Broker,Other,Cash,Unknown,Basic,10500000.0,65217.39
"5,800,000 EGP",119.0,3.0,1 bathroom,,,EG-6600552,Main Street,Installments,Unknown,Basic,5800000.0,48739.5
"4,450,000 EGP",138.0,3.0,2 bathroom,2.0,2027.0,Broker,Main Street,Cash or Installments,El Shorouk In,Installment,4450000.0,32246.38
"1,000,000 EGP",80.0,2.0,1 bathroom,3.0,2000.0,Private Owner,Main Street,Cash,شارع ترسا,Basic,1000000.0,12500.0
